Beat_Interval,Systolic,Diastolic
0.568,151.77,70.451
0.552,150.18,69.534
0.552,151.94,70.446
0.56,151.47,69.958
0.56,150.51,67.316
0.568,151.16,69.155
0.544,150.89,64.291
0.568,148,69.094
0.52,147.24,70.918
0.592,147.18,71.057
0.552,150.28,71.296
0.544,147.29,71.182
0.552,149.87,71.761
0.56,150.92,70.523
0.544,149.19,71.817
0.56,145.44,63.913
0.552,140.72,63.319
0.544,137.73,61.755
0.544,139.12,64.429
0.552,140.64,64.21
0.552,142.39,61.727
0.552,143.55,64.654
0.544,144.28,64.376
0.552,141.62,63.147
0.544,141.79,65.268
0.552,144.46,62.147
0.552,142.56,65.089
0.552,145.16,65.313
0.56,146.22,65.496
0.552,146.16,63.131
0.552,145.73,65.529
0.552,145.15,62.981
0.552,143.33,66.412
0.552,144.38,65.492
0.552,146.26,65.073
0.552,146.43,63.734
0.552,144.6,65.533
0.552,145.44,65.036
0.552,145.24,65.077
0.552,144.22,62.264
0.544,142.55,65.289
0.544,145.14,65.264
0.552,146.31,65.818
0.52,148.83,80.435
0.52,145.83,79.986
0.512,141.86,80.713
0.528,144.43,81.406
0.52,147.95,81.19
0.52,146.03,79.138
0.528,142.49,73.835
0.504,141.9,80.301
0.512,145.35,82.436
0.496,148.73,83.825
0.512,148.87,83.355
0.504,150.43,81.433
0.504,148.95,83.178
0.536,136.83,69.386
0.536,136.63,67.518
0.536,134.66,66.342
0.528,132.26,67.07
0.536,131.04,66.887
0.536,131.59,66.936
0.536,130.41,65.971
0.536,128.68,65.15
0.52,126.35,65.902
0.536,125.9,65.516
0.536,127.21,65.903
0.536,126.68,65.483
0.536,125.21,65.146
0.528,123.58,65.796
0.536,126.91,66.875
0.536,126.64,66.598
0.528,126.1,66.581
0.536,125.65,65.512
0.528,124.07,67.233
0.528,124.79,67.269
0.536,128.12,68.072
0.536,128.66,68.218
0.536,128.26,67.823
0.544,127.73,66.652
0.536,126.13,68.716
0.544,126.14,67.588
0.544,125.78,67.055
0.536,125.44,68.482
0.544,131.06,70.449
0.544,133.54,71.048
0.552,134.87,68.659
0.536,134.47,70.714
0.536,134.65,70.832
0.544,139.01,72.643
0.544,141.56,70.441
0.544,141.45,71.349
0.536,137.19,71.536
0.544,140.51,71.537
0.56,122.14,66.343
0.568,120.89,65.025
0.56,119.04,66.587
0.576,120.3,65.371
0.576,120.14,64.899
0.576,118.89,64.549
0.584,118.61,63.565
0.576,117.23,65.492
0.576,117.91,64.439
0.584,118.34,64.211
0.584,117.56,64.362
0.584,117.73,64.245
0.568,119.93,66.615
0.56,120.54,67.238
0.544,123.71,64.84
0.552,123.02,68.081
0.568,125.65,70.127
0.552,130.47,69.338
0.56,131.06,71.134
0.552,131.73,71.988
0.544,132.34,72.411
0.56,135.3,72.697
0.56,137.18,72.253
0.568,132.62,70.252
0.568,132.05,69.572
0.568,129.54,67.809
0.552,127.36,68.199
0.552,125.78,68.15
0.568,126.13,67.592
0.552,125.98,67.369
0.56,124.85,66.896
0.552,124.04,66.005
0.552,122.42,67.743
0.544,123.06,67.075
0.552,123.92,67.125
0.472,113.75,75.642
0.464,113.31,75.642
0.464,114.98,69.971
0.448,108.42,71.342
0.472,110.9,74.851
0.464,111.58,75.202
0.448,107.43,72.675
0.472,111.15,74.513
0.464,111.01,74.967
0.456,112.71,75.329
0.472,113.15,69.784
0.488,110.92,68.369
0.48,111.11,74.411
0.488,113.25,75.144
0.48,110.03,70.517
0.496,111.42,75.357
0.488,114.1,75.1
0.496,114.93,75.344
0.504,115.47,75.207
0.504,113.97,69.385
0.528,123.15,81.593
0.528,121.71,81.353
0.536,121.74,82.005
0.536,121.86,77.157
0.52,118.95,83.129
0.52,123.29,82.53
0.528,122.7,82.543
0.512,123.39,83.848
0.528,124.37,78.748
0.472,121.22,72.819
0.56,130.93,84.053
0.52,124.92,83.103
0.52,120.46,84.097
0.52,126.76,82.757
0.528,124.37,82.53
0.528,124.08,82.738
0.528,124.75,82.685
0.528,124.07,76.273
0.528,119.16,83.157
0.536,124.38,81.357
0.528,121.92,81.703
0.536,122.42,81.614
0.536,122.79,80.515
0.536,119.12,76.869
0.528,122.28,82.53
0.736,114.37,55.14
0.728,113.8,54.749
0.728,110.09,53.771
0.72,109.75,53.771
0.712,110.74,54.943
0.752,111.87,56.705
0.712,113.64,56.508
0.712,113.22,56.312
0.712,110.73,56.117
0.736,114.37,55.14
0.728,113.8,54.749
0.728,110.09,53.771
0.72,109.75,53.771
0.712,110.74,54.943
0.752,111.87,56.706
0.712,113.64,56.508
0.712,113.22,56.312
0.712,110.73,56.117
0.64,141.06,62.764
0.64,141.64,61.772
0.648,139.98,60.991
0.64,136.45,60.208
0.64,136.32,62.75
0.648,138.03,60.991
0.648,139.88,60.404
0.648,135.89,59.622
0.648,134.6,60.222
0.648,135.12,57.484
0.656,137.66,60.222
0.648,138.49,59.818
0.656,138.68,59.819
0.664,140.37,59.832
0.656,142.31,59.244
0.648,149.06,61.786
0.664,153.54,61.983
0.584,151.86,55.135
0.728,144.82,61.594
0.64,136.2,61.982
0.656,145.33,60.795
0.656,150,60.613
0.648,143.93,59.831
0.648,142.34,59.635
0.648,140.42,59.439
0.64,141.28,61.004
0.64,142.53,60.417
0.648,142.51,59.831
0.632,139.82,59.817
0.648,140.99,62.556
0.648,141.04,62.569
0.648,142.5,63.742
0.648,143.51,64.915
0.648,145.97,63.351
0.648,144.75,62.569
0.648,141.93,62.177
0.648,140.75,61.982
0.648,141.25,61.982
0.648,141.72,63.351
0.656,142.23,61.786
0.64,138.99,61.395
0.648,139.23,61.395
0.648,139.01,61.786
0.648,140.95,63.742
0.648,142.59,62.569
0.656,142.47,61.786
0.64,139.03,61.381
0.648,138.31,61.382
0.64,138.46,61.772
0.648,142.5,62.569
0.648,139.67,61.982
0.64,139.3,62.177
0.64,140.22,62.359
0.648,141.45,64.329
0.648,143.67,63.546
0.64,143.74,62.96
0.648,142.04,62.569
0.64,139.75,62.373
0.64,141.21,62.946
0.64,142.81,61.772
0.64,140.39,61.577
0.648,139.68,61.591
0.64,140.37,62.177
0.632,141.6,63.728
0.648,144.28,63.937
0.64,144.92,62.75
0.648,143.87,62.177
0.648,140.44,61.395
0.64,140.42,63.351
0.648,138.69,60.795
0.64,138.08,62.177
0.64,140.81,62.946
0.648,142.42,61.773
0.648,141.91,61.2
0.64,137.64,60.808
0.64,137.98,61.004
0.64,138.67,63.351
0.648,142.31,62.373
0.64,142.03,61.591
0.64,140.03,62.946
0.648,142.53,62.164
0.64,142.04,61.772
0.64,139.24,61.381
0.648,139.04,61.786
0.632,140.84,64.119
0.648,143.59,62.96
0.64,144.73,62.373
0.648,141.62,61.591
0.632,140.66,62.555
0.64,137.82,60.026
0.632,137.63,59.425
0.64,134,59.048
0.624,132.41,59.243
0.64,134.34,59.831
0.632,136.36,62.372
0.624,140.98,61.785
0.64,140.78,61.004
0.624,137.93,60.402
0.64,136.06,60.026
0.64,139.68,60.417
0.632,137.06,59.83
0.632,136.35,61.199
0.632,138.87,61.785
0.64,140.53,60.417
0.64,139.84,59.831
0.632,135.56,59.243
0.632,135.54,59.634
0.632,135.81,61.577
0.64,139.89,60.613
0.632,134.8,60.221
0.64,136.57,61.982
0.632,140.44,61.003
0.632,139.19,60.208
0.64,135.86,59.635
0.632,134.55,59.438
0.632,135.97,62.176
0.632,139.43,61.981
0.64,141.4,61.2
0.632,139.08,60.416
0.64,140.13,60.417
0.624,137.79,59.816
0.64,135.33,59.439
0.64,134.81,60.417
0.632,137.34,61.199
0.632,139.67,60.403
0.64,139.48,60.026
0.632,135.9,59.438
0.64,135.97,61.2
0.624,138.19,61.185
0.632,134.48,60.807
0.632,137.63,60.416
0.64,138.72,59.439
0.632,136.47,59.047
0.64,132.71,58.462
0.632,133.33,61.199
0.632,137.32,60.208
0.64,138.06,59.635
0.632,134.98,59.034
0.64,133.57,58.853
0.64,137.62,60.613
0.632,135.68,60.025
0.624,136.32,60.416
0.624,136.51,60.598
0.632,139.73,62.763
0.624,142.77,62.162
0.64,144.03,61.2
0.624,139.98,60.402
0.632,139.11,60.416
0.632,139.14,60.221
0.632,132.56,60.416
0.624,136.12,61.59
0.632,139.1,60.99
0.64,138.99,60.613
0.632,135.92,60.221
0.632,136.52,60.012
0.632,137.33,62.176
0.64,140.77,61.395
0.632,140.84,60.208
0.64,138.2,59.244
0.632,134.72,60.025
0.64,136.86,58.643
0.64,134.34,57.679
0.64,130.16,57.079
0.64,129.19,57.093
0.64,130.42,57.288
0.632,131.56,59.438
0.632,134.74,59.23
0.64,134.61,58.462
0.64,131.55,57.875
0.632,135.34,60.403
0.632,136.71,59.817
0.64,134.55,59.23
0.632,130.87,59.034
0.64,132.4,60.808
0.624,135.34,61.771
0.64,139.16,61.2
0.632,138.32,60.612
0.632,135.78,60.208
0.64,135.27,60.026
0.64,128.1,57.875
0.632,129.14,59.817
0.64,132.98,60.026
0.64,135.13,59.439
0.64,134.22,59.048
0.632,130.07,58.265
0.632,131.3,60.599
0.64,134.15,60.417
0.632,136.93,60.012
0.64,134.88,59.244
0.648,136.32,59.048
0.632,134.18,58.461
0.64,130.62,57.484
0.632,131.03,60.025
0.632,133.77,59.23
0.648,134.68,58.07
0.632,130.48,57.287
0.64,128.09,56.897
0.632,127.75,59.243
0.64,132.24,58.657
0.632,127.72,59.425
0.64,131.62,59.048
0.64,133.56,58.462
0.64,130.19,57.875
0.632,128.71,57.874
0.632,129.48,60.025
0.632,133.77,60.221
0.64,135.86,59.439
0.632,134.57,59.047
0.64,131.28,58.266
0.64,135.14,59.635
0.632,131.5,58.852
0.632,132.44,60.794
0.64,134.96,60.613
0.64,137.35,59.635
0.632,134.58,58.852
0.632,130.87,58.252
0.64,130.04,59.244
0.632,132.77,60.416
0.632,135.86,59.817
0.64,135.29,59.439
0.632,132,61.785
0.632,137.71,61.199
0.632,137.29,60.612
0.632,134.98,60.025
0.632,132.63,59.438
0.624,133.76,61.771
0.632,136.92,61.186
0.64,138.91,60.417
0.624,135.93,59.816
0.64,133.19,59.048
0.632,133.23,61.394
0.632,135.93,59.23
0.64,132.92,58.657
0.632,133.96,61.003
0.632,136.87,60.416
0.632,138.3,59.425
0.64,135.2,58.462
0.632,132.58,58.265
0.632,131.86,59.438
0.64,134.6,60.026
0.632,136.34,58.852
0.632,135.17,58.265
0.632,132.62,57.47
0.64,130.8,56.702
0.64,126.98,56.115
0.632,125.17,56.114
0.64,126.34,58.266
0.632,129.63,58.265
0.64,132.14,57.875
0.632,129.66,57.47
0.64,126.92,57.079
0.632,126.81,58.461
0.64,128.67,57.875
0.632,129.27,58.265
0.632,131.24,61.003
0.632,135.9,60.403
0.64,135.96,59.439
0.632,132.97,58.643
0.632,130.32,58.448
0.64,134.93,59.048
0.64,134.46,57.875
0.64,129.85,56.897
0.64,129.9,57.679
0.64,130.93,56.897
0.648,128.86,56.31
0.632,124.7,55.905
0.64,125.16,57.484
0.632,127.36,58.252
0.648,131.02,57.875
0.64,129.71,57.079
0.64,126.34,56.897
0.64,125.42,58.657
0.632,138.12,61.199
0.64,140.99,60.012
0.64,139.07,59.048
0.64,135.46,58.252
0.64,132.54,57.875
0.632,133.44,60.416
0.632,136.68,60.012
0.64,138.84,59.425
0.64,135.71,58.448
0.632,132.81,58.252
0.632,135.67,59.425
0.64,133.38,59.635
0.64,134.98,61.786
0.624,138.26,60.793
0.64,139.25,60.012
0.64,135.14,59.23
0.64,134.01,59.439
0.632,133.94,61.003
0.64,137.85,60.026
0.632,136.34,59.23
0.64,128.69,58.07
0.632,131.63,60.416
0.632,133.99,59.83
0.64,133.8,59.048
0.632,131.08,58.643
0.64,128.89,58.07
0.64,130.04,60.417
0.632,133.52,59.83
0.64,134.92,59.048
0.64,131.36,58.266
0.648,132.98,59.635
0.632,133.99,58.643
0.64,131.68,58.07
0.64,127.64,57.288
0.632,128.48,59.634
0.64,132.38,59.244
0.632,134.29,58.643
0.64,130.77,57.875
0.64,127.83,57.484
0.64,127.42,57.288
0.632,129.27,57.874
0.64,131.73,57.875
0.64,128.11,57.288
0.632,125.58,56.883
0.64,127.32,57.274
0.64,128.49,58.266
0.64,130.86,59.831
0.632,133.01,58.252
0.64,131.09,57.274
0.64,125.94,56.506
0.64,125.68,56.506
0.632,126.14,56.896
0.632,128.25,60.025
0.64,131.98,58.657
0.64,132.59,58.07
0.64,128.07,57.093
0.632,127.13,57.483
0.64,127.31,59.635
0.64,132.14,58.657
0.64,131.81,58.07
0.632,128.85,57.678
0.64,127.11,57.484
0.64,129.81,57.679
0.624,127.9,58.251
0.648,128.76,60.222
0.632,133.91,59.634
0.64,133.62,58.657
0.632,130.88,58.265
0.632,128.75,58.252
0.64,130.64,60.613
0.64,134.72,59.244
0.64,134.54,58.266
0.632,130.03,58.252
0.648,131.19,59.048
0.64,133.29,57.679
0.64,129.9,56.492
0.64,125.66,55.919
0.648,124.22,55.724
0.64,125.75,56.115
0.632,126.96,58.069
0.64,130.37,58.07
0.648,130.27,56.702
0.632,126.39,58.656
0.624,128.02,59.62
0.64,132.39,58.853
0.632,131.04,58.265
0.632,128.33,58.069
0.64,128.09,59.048
0.632,130.25,60.612
0.632,133.69,59.243
0.64,133.36,58.462
0.632,129.61,58.069
0.632,132.96,58.069
0.648,129.43,57.093
0.632,126.57,56.505
0.632,127.2,58.643
0.64,129.85,57.875
0.64,130.99,57.093
0.64,126.96,56.115
0.64,123.73,55.528
0.632,123.25,57.874
0.64,127.63,57.875
0.64,123.6,57.875
0.64,126.49,57.875
0.632,129.49,57.483
0.64,127.37,57.093
0.632,124.41,56.896
0.64,124.58,56.897
0.632,126.96,59.634
0.632,131.03,58.643
0.64,131.28,57.875
0.64,127.1,56.897
0.64,132.85,58.266
0.64,128.49,57.679
0.64,128.79,59.048
0.632,130.83,59.634
0.64,133.7,58.657
0.64,131.14,58.07
0.64,127.71,57.679
0.632,126.93,59.047
0.632,130.13,60.025
0.64,133.04,59.048
0.632,130.67,60.612
0.632,134.55,59.83
0.632,132.87,59.23
0.64,130.06,58.853
0.632,130.12,59.634
0.632,132.84,61.772
0.64,136.17,60.222
0.64,135.92,59.439
0.632,131.56,58.656
0.64,130.43,58.462
0.64,135.72,59.635
0.64,133.18,58.462
0.632,128.91,57.874
0.64,127.62,57.484
0.632,129.27,57.874
0.64,130,59.244
0.64,132.78,59.048
0.64,132.59,57.679
0.632,129,56.896
0.64,123.98,55.905
0.648,120.67,55.919
0.632,121.52,56.296
0.648,123.25,58.266
0.632,125.77,57.483
0.64,125.28,56.506
0.64,120.27,55.528
0.648,117.43,54.941
0.64,117.25,54.941
0.632,118.78,55.918
0.64,120.47,58.07
0.648,116.35,55.724
0.632,118.19,56.309
0.624,120.11,58.251
0.648,124.19,59.048
0.632,125.97,58.069
0.632,124.23,57.47
0.64,118.99,56.702
0.632,119.87,57.092
0.632,121.44,57.678
0.632,124.55,59.83
0.64,122.62,57.093
0.64,121.84,57.093
0.632,123.43,59.047
0.64,126.73,57.679
0.648,125.78,56.702
0.632,120.86,55.918
0.64,119.11,55.724
0.64,118.51,55.528
0.632,120.74,57.092
0.64,122.56,58.266
0.624,121.81,58.852
0.624,125.39,58.656
0.624,125.02,57.86
0.632,121.95,57.092
0.632,118.52,56.309
0.616,119.88,59.047
0.632,123.91,58.461
0.624,126.33,58.069
0.624,123.6,57.469
0.632,121.45,56.883
0.632,121.17,59.047
0.632,124.42,57.092
0.632,120.31,56.309
0.616,120.3,58.265
0.632,122.73,57.874
0.632,124,57.092
0.632,121.87,56.309
0.624,119.09,55.918
0.624,118.14,55.918
0.616,119.99,56.1
0.632,121.42,57.874
0.624,124.62,57.287
0.632,115.38,54.354
0.624,116.21,54.354
0.624,117.12,56.896
0.632,121.67,56.701
0.632,121.92,56.114
0.624,118.75,55.527
0.624,114.91,55.136
0.632,116.16,56.505
0.624,118.64,58.656
0.624,123.7,57.678
0.624,122.98,57.287
0.648,104.78,51.812
0.632,105.8,52.202
0.64,106.98,52.595
0.632,110.2,55.136
0.632,113.53,55.136
0.64,114.88,54.746
0.64,111.29,53.964
0.624,108.35,53.571
0.632,108.36,53.571
0.632,110.68,53.963
0.632,112.25,56.309
0.624,110.11,53.753
0.64,106.77,52.986
0.632,107.65,53.376
0.624,109.16,54.354
0.632,111.88,56.309
0.632,114.21,54.94
0.632,112.85,54.158
0.632,107.56,53.18
0.632,105.99,52.789
0.632,106.77,52.985
0.624,109.13,54.731
0.632,110.98,53.571
0.632,106.8,52.985
0.64,105.71,52.595
0.632,107.46,53.18
0.624,109.28,55.136
0.64,113.45,55.724
0.632,115.02,54.94
0.624,112.61,54.535
0.64,108.83,53.768
0.632,110.31,54.354
0.632,111.77,54.354
0.64,111.94,55.528
0.632,115.02,54.354
0.64,113.82,53.572
0.64,108.75,52.595
0.624,107.53,52.188
0.64,107.46,52.203
0.632,109.53,53.963
0.64,111.68,55.137
0.632,114.28,53.963
0.632,111.08,53.18
0.632,107.17,52.789
0.624,110.01,55.904
0.64,114.71,56.506
0.632,116.39,55.723
0.616,113.81,55.332
0.632,108.79,54.549
0.624,109.71,54.94
0.624,111.07,55.136
0.632,114.22,57.483
0.624,117.9,57.287
0.632,118.7,56.896
0.624,115.16,56.309
0.624,115.82,58.069
0.632,119.87,57.287
0.624,120.89,56.896
0.632,117.11,55.918
0.632,114.8,55.332
0.632,114.8,57.678
0.624,120.11,57.483
0.624,120.46,56.687
0.64,117.76,55.919
0.624,114.65,55.527
0.632,115.38,55.723
0.64,110.52,53.572
0.624,112.48,55.709
0.64,115.07,56.506
0.64,117.73,55.724
0.632,114.8,55.136
0.632,110.86,54.745
0.632,111.06,55.136
0.632,113.22,55.527
0.632,115.19,57.874
0.624,119.46,57.874
0.632,119.31,56.896
0.624,112.29,55.332
0.632,113.43,55.527
0.632,116.39,58.069
0.632,119.6,57.287
0.632,119.27,56.701
0.632,115.38,55.723
0.632,113.82,55.527
0.624,114.03,55.513
0.648,116.44,56.31
0.632,118.11,58.069
0.632,121.08,56.492
0.648,111.47,53.181
0.632,111.69,53.18
0.64,111.94,54.159
0.64,113.63,54.355
0.648,114.18,52.79
0.648,111.11,52.008
0.632,105.41,51.225
0.64,104.99,51.226
0.64,105.7,51.421
0.632,108.55,54.158
0.64,107.14,51.798
0.656,109.53,53.964
0.656,113.26,52.79
0.64,111.07,52.008
0.648,107.07,51.408
0.656,105.24,51.03
0.64,106.01,51.407
0.656,106.79,52.595
0.64,109.79,53.167
0.648,110.89,52.19
0.648,103.24,50.443
0.648,105.41,52.79
0.648,108.4,52.008
0.648,107.59,51.226
0.648,102.67,50.248
0.648,100.11,50.052
0.64,100.34,50.234
0.64,102.66,51.798
0.656,105.01,53.768
0.648,108.94,52.79
0.632,102.2,52.007
0.64,104.32,52.595
0.632,106.99,54.927
0.648,111.44,55.919
0.64,114.6,55.724
0.632,113.32,55.723
0.632,109.74,55.527
0.632,112.12,56.309
0.64,114.2,56.702
0.632,117.73,59.047
0.624,120.64,58.447
0.624,106.26,54.745
0.64,109.73,53.964
0.624,107.63,53.362
0.64,103.65,52.595
0.64,103.07,52.399
0.632,104.31,52.594
0.632,105.6,54.549
0.64,109.34,54.159
0.624,109.14,53.767
0.648,106.16,52.79
0.632,106.83,54.927
0.648,110.2,53.572
0.648,108.94,52.79
0.632,103.74,52.007
0.64,101.49,51.617
0.64,102.1,51.812
0.632,105.02,53.571
0.632,108.13,55.527
0.648,112.34,54.355
0.64,110.57,53.964
0.632,110.29,56.114
0.632,114.32,56.896
0.632,115.77,56.114
0.632,113.91,55.527
0.632,109.91,54.745
0.64,109.73,54.159
0.624,109.98,53.949
0.632,111.28,55.71
0.648,113.06,54.55
0.64,112.65,53.572
0.648,111.94,53.964
0.64,114.24,55.919
0.64,115.87,54.341
0.656,114.04,53.377
0.64,108.82,52.595
0.648,107.14,52.203
0.64,107.2,52.203
0.648,109.3,53.768
0.64,111.49,54.341
0.656,113.63,53.572
0.632,110.87,55.905
0.64,113.83,56.702
0.64,114.87,55.528
0.632,112.66,54.732
0.64,107.57,53.964
0.64,107.55,53.768
0.632,108.35,56.114
0.64,113.45,56.115
0.624,114.57,55.709
0.632,112.87,55.319
0.632,115.94,55.918
0.64,114.03,55.333
0.632,110.59,54.94
0.632,110.5,55.136
0.624,112.05,55.318
0.64,113.04,56.897
0.632,116.36,56.296
0.64,115.72,55.528
0.64,112.59,54.746
0.632,108.14,53.963
0.64,114.09,54.355
0.632,110.98,53.571
0.64,105.88,52.79
0.632,106.59,52.972
0.632,107.42,53.167
0.64,110.5,55.528
0.64,113.25,54.55
0.64,112.72,53.768
0.64,107.73,52.79
0.64,105.63,52.399
0.64,107.19,52.595
0.632,104.62,52.202
0.64,104.98,52.399
0.624,106.02,52.789
0.632,107.61,53.767
0.64,108.92,54.941
0.64,111.1,53.572
0.632,108.34,52.789
0.632,105.43,52.789
0.632,104.09,52.594
0.64,106.08,52.79
0.632,111.64,53.963
0.64,108.75,53.377
0.624,104.05,52.985
0.64,104.81,53.181
0.632,106.39,53.571
0.632,108.92,55.723
0.632,112.55,55.527
0.632,113.72,55.136
0.64,110.12,54.159
0.632,107.38,53.963
0.632,108.21,54.536
0.632,117.92,57.079
0.648,117.35,56.31
0.632,114.81,55.918
0.648,112.06,55.137
0.648,113.02,54.941
0.648,114.01,55.724
0.648,115.59,57.093
0.648,117.17,55.137
0.648,114.62,53.964
0.648,109.11,52.986
0.64,103.84,51.617
0.648,103.54,51.421
0.64,104.82,52.008
0.64,106.19,54.159
0.656,110.09,52.79
0.632,108.15,52.385
0.648,103.65,51.617
0.64,101.9,51.617
0.64,102.87,52.008
0.632,104.81,53.767
0.64,104.23,53.377
0.64,105.03,53.572
0.624,106.2,53.753
0.64,108.73,55.724
0.64,111.43,55.528
0.632,113.22,54.94
0.64,109.85,53.964
0.64,106.6,53.572
0.632,106.38,53.571
0.632,108.34,53.767
0.64,108.36,53.377
0.632,104.65,52.594
0.64,105.4,52.595
0.64,106.59,53.572
0.632,109.02,55.527
0.64,111.1,54.159
0.632,109.51,53.363
0.64,104.43,52.399
0.64,103.06,52.203
0.64,103.14,52.399
0.68,103.46,51.422
0.664,103.86,50.444
0.672,104.1,53.378
0.672,107.44,52.4
0.672,109.53,52.596
0.672,109.33,52.791
0.664,109.72,53.378
0.664,111.38,53.769
0.672,112.42,54.942
0.664,111.67,52.987
0.672,111.85,52.4
0.664,110.97,52.987
0.68,111.3,52.987
0.664,111.28,51.618
0.672,109.3,50.64
